offer_id,offer_type,fa_title,en_title,upc_code,offer_calculation,accumulator_id,flag_offer_id,max_amount,amount_unit,only_full_rate
85814,voice,5 ساعت مکالمه درون شبکه به مناسبت شانزدهمین تولد ایرانسل,5Hour on-net voice for Irancell’s 16th birthday,85814,normal,,,,,
85583,data,هفتگی ترکیبی 150مگ و10 دقیقه مکالمه و 50 پیامک,Weekly Combo 150MB+10Min Voice+50SMS,85583,normal,,,,,
85584,data,هفتگی ترکیبی 150مگ و10 دقیقه مکالمه و 50 پیامک,Weekly Combo 150MB+10Min Voice+50SMS,85584,normal,,,,,
22140,data,200مگابایت هفتگی,200MB Weekly,22140,normal,,,,,
22141,data,600مگابایت هفتگی,600MB Weekly,22141,normal,,,,,
22146,data,300مگابایت هفتگی,300MB Weekly,22146,normal,,,,,
22147,voice,نامحدود هفتگی,Unlimited Weekly,22147,normal,,,,,
22142,data,1024مگابایت هفتگی,1024MB Weekly,22142,normal,,,,,
22143,data,بسته 75مگابایت رومینگ بین الملل,75MB Special Roaming data package,22143,normal,,,,,
22144,data,بسته 150مگابایت رومینگ بین الملل,150MB Special Roaming data package,22144,normal,,,,,
22145,data,بسته 300مگابایت رومینگ بین الملل,300MB Special Roaming data package,22145,normal,,,,,
61806,data,بسته 180 روزه 50 گیگ,180 Days 50GB Internet,61806,normal,,,,,
61805,data,1گیگ اینترنت رایگان هفتگی,1GB Weekly Free Data,61805,normal,,,,,
62645,data,اینترنت داخلی,Local Internet,,normal,,,,,
62644,data,اینترنت بین الملل,International Internet,,normal,,,,,
62524,data,22گیگ اینترنت 30روزه 63800ت,22GB Data 30Days 63800T,62524,normal,,,,,
62525,data,28گیگ اینترنت 30روزه 81200ت,28GB Data 30Days 81200T,62525,normal,,,,,
62526,data,37گیگ اینترنت 30روزه 107300ت,37GB Data 30Days 107300T,62526,normal,,,,,
62527,data,20گیگ اینترنت 30روزه 62000ت,20GB Data 30Days 62000T,62527,normal,,,,,
62528,data,27گیگ اینترنت 30روزه 83700ت,27GB Data 30Days 83700T,62528,normal,,,,,
62529,data,32گیگ اینترنت 30روزه 99200ت,32GB Data 30Days 99200T,62529,normal,,,,,
62530,data,40گیگ اینترنت 30روزه 124000ت,40GB Data 30Days 124000T,62530,normal,,,,,
85353,data,3گیگ و 3ساعت مکالمه درون شبکه,3GB+3Hour on-net voice,85353,normal,,,,,
22139,data,1.5گیگ رومینگ 2 ماهه,2 Months 1.5 GB Special Roaming Data Package,22139,normal,,,,,
85352,data,1گیگ+1ساعت مکالمه درون شبکه(10 روزه),1GB+1Hours on-net voice(10 days),85352,normal,,,,,
81963,voice,یک میلیون مکالمه داخل شبکه 15000ت(بخش اصلی),1millionT onnet 15000T(main part),8196381965,normal,,,,,
81965,voice,یک میلیون مکالمه داخل شبکه 15000ت(بخش هدیه),1millionT onnet 15000T(gift part),8196381965,normal,,,,,
81964,voice,یک میلیون مکالمه داخل شبکه 30000ت(بخش اصلی),1millionT onnet 30000T(main part),8196481966,normal,,,,,
81966,voice,یک میلیون مکالمه داخل شبکه 30000ت(بخش هدیه),1millionT onnet 30000T(gift part),8196481966,normal,,,,,
14529,data,100گیگ اینترنت رایگان یکساله,100GB Free Data for 1 year,14529,normal,,,,,
62634,data,1گیگ اینترنت 30 روزه 1000ت,1GB Data 30days 1000T,62634,normal,,,,,
85351,data,2گیگ+2ساعت مکالمه درون شبکه,2GB+2Hour on-net voice,85351,normal,,,,,
81960,voice,۳۰ دقیقه مکالمه رایگان هفتگی,Free 30 minutes weekly voice,81960,normal,,,,,
81961,voice,6۰ دقیقه مکالمه رایگان هفتگی,Free 60 minutes weekly voice,81961,normal,,,,,
81962,voice,9۰ دقیقه مکالمه رایگان هفتگی,Free 90 minutes weekly voice,81962,normal,,,,,
62628,data,9 گیگ 30 روزه 27900ت,9GB 30days 27900T,62628,normal,,,,,
